학년,학교,성별,자세 세부 유형,자세 불균형 상태,자세 불균형 개수 (개),목,어깨,허리,엉덩,무릎,발목,자세 등급
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,93,94,58,58,100,78,1
4학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,17,90,48,44,44,75,100,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,23,93,68,41,41,83,85,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,14,100,30,78,78,98,73,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,18,100,89,40,40,69,96,2
4학년,초등학교,남자,굽은등 자세 위험군,Lv 1 예방 유지 단계,15,95,67,77,77,97,91,1
4학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,18,100,49,95,95,99,62,1
4학년,초등학교,남자,굽은등 자세 위험군,Lv 2 적극 재활 단계,17,100,65,68,68,93,79,2
4학년,초등학교,남자,O다리 / X다리 위험군,Lv 2 적극 재활 단계,23,94,72,74,74,85,63,2
4학년,초등학교,여자,거북목 자세 위험군,Lv 1 예방 유지 단계,16,100,55,86,86,96,77,1
4학년,초등학교,여자,굽은등 자세 위험군,Lv 2 적극 재활 단계,19,92,53,79,79,78,75,2
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,18,93,35,56,56,93,69,2
5학년,초등학교,여자,굽은등 자세,Lv 2 적극 재활 단계,12,100,79,40,40,64,76,2
5학년,초등학교,남자,O다리 / X다리 위험군,Lv 1 예방 유지 단계,17,100,66,90,90,81,81,1
5학년,초등학교,남자,굽은등 자세,Lv 2 적극 재활 단계,23,86,29,36,36,96,68,2
5학년,초등학교,여자,굽은등 자세 위험군,Lv 1 예방 유지 단계,14,82,65,87,87,100,86,1
5학년,초등학교,남자,거북목 자세 위험군,Lv 1 예방 유지 단계,19,95,78,89,89,92,88,1
